year,column,present,non_null
1990,mys_1990,True,163
1991,mys_1991,True,163
1992,mys_1992,True,163
1993,mys_1993,True,163
1994,mys_1994,True,163
1995,mys_1995,True,167
1996,mys_1996,True,167
1997,mys_1997,True,167
1998,mys_1998,True,167
1999,mys_1999,True,170
2000,mys_2000,True,190
2001,mys_2001,True,190
2002,mys_2002,True,191
2003,mys_2003,True,192
2004,mys_2004,True,194
2005,mys_2005,True,200
2006,mys_2006,True,200
2007,mys_2007,True,200
2008,mys_2008,True,201
2009,mys_2009,True,201
2010,mys_2010,True,202
2011,mys_2011,True,203
2012,mys_2012,True,203
2013,mys_2013,True,203
2014,mys_2014,True,203
2015,mys_2015,True,203
2016,mys_2016,True,203
2017,mys_2017,True,203
2018,mys_2018,True,203
2019,mys_2019,True,203
2020,mys_2020,True,203
2021,mys_2021,True,203
2022,mys_2022,True,204
2023,mys_2023,True,204
