variable,n_observed,pct_observed,n_countries_any_obs,n_countries_full_coverage,first_observed_year,last_observed_year
gini,2212,29.98,171,3,1990,2023
enrol_primary,5111,69.27,208,20,1990,2023
enrol_secondary,4286,58.09,207,4,1990,2023
enrol_tertiary,3760,50.96,199,9,1990,2023
enrol_secondary_female,4083,55.34,206,0,1990,2023
enrol_secondary_male,4079,55.29,206,0,1990,2023
edu_expenditure_gdp,4011,54.36,202,0,1990,2023
gdp_per_capita_ppp,6597,89.41,199,184,1990,2023
gdp_per_capita_usd,7014,95.07,214,188,1990,2023
unemployment_rate,6167,83.59,187,0,1991,2023
inflation_cpi,5841,79.17,193,120,1990,2023
population,7378,100.0,217,217,1990,2023
urban_population_pct,7378,100.0,217,217,1990,2023
trade_openness,5784,78.4,191,130,1990,2023
gov_expenditure_gdp,5530,74.95,185,117,1990,2023
agri_value_added_gdp,6218,84.28,206,121,1990,2023
manu_value_added_gdp,5837,79.11,203,100,1990,2023
services_value_added_gdp,6074,82.33,205,114,1990,2023
mean_years_schooling,6081,82.42,193,152,1990,2023
